w0 [um], z0 [um] | pump FWHM [um] | probe FWHM [um] | error [um]
2.900, 4.0 | 1.991 | 0.833 | 1.208
2.900, 5.0 | 1.989 | 0.832 | 1.207
2.900, 6.0 | 1.987 | 0.832 | 1.205
2.900, 7.0 | 1.986 | 0.832 | 1.204
2.900, 8.0 | 1.984 | 0.832 | 1.202
2.900, 9.0 | 1.983 | 0.832 | 1.201
2.900, 10.0 | 1.981 | 0.832 | 1.200
2.900, 11.0 | 1.980 | 0.831 | 1.199
2.900, 12.0 | 1.979 | 0.831 | 1.198
2.900, 13.0 | 1.978 | 0.831 | 1.197
2.900, 14.0 | 1.977 | 0.831 | 1.196
2.900, 15.0 | 1.977 | 0.832 | 1.195
2.900, 16.0 | 1.976 | 0.832 | 1.195
2.900, 17.0 | 1.976 | 0.832 | 1.194
2.900, 18.0 | 1.975 | 0.832 | 1.194
2.900, 19.0 | 1.975 | 0.832 | 1.193
2.900, 20.0 | 1.975 | 0.832 | 1.193
3.000, 0.0 | 2.065 | 0.854 | 1.262
3.000, 1.0 | 2.063 | 0.853 | 1.260
3.000, 2.0 | 2.061 | 0.853 | 1.258
3.000, 3.0 | 2.059 | 0.853 | 1.257
3.000, 4.0 | 2.058 | 0.852 | 1.255
3.000, 5.0 | 2.056 | 0.852 | 1.254
3.000, 6.0 | 2.054 | 0.852 | 1.252
3.000, 7.0 | 2.053 | 0.852 | 1.251
3.000, 8.0 | 2.051 | 0.852 | 1.250
3.000, 9.0 | 2.050 | 0.852 | 1.249
3.000, 10.0 | 2.049 | 0.851 | 1.247
3.000, 11.0 | 2.048 | 0.851 | 1.246
3.000, 12.0 | 2.047 | 0.851 | 1.245
3.000, 13.0 | 2.046 | 0.851 | 1.245
3.000, 14.0 | 2.045 | 0.852 | 1.244
3.000, 15.0 | 2.045 | 0.852 | 1.243
3.000, 16.0 | 2.044 | 0.852 | 1.242
3.000, 17.0 | 2.044 | 0.852 | 1.242
3.000, 18.0 | 2.044 | 0.852 | 1.241
3.000, 19.0 | 2.043 | 0.852 | 1.241
3.000, 20.0 | 2.043 | 0.853 | 1.241

BEST OVERALL RESULT:
w0 = 1.400 [um]
z0 = 16.000 [um]
Pump FWHM = 0.962 [um]
Probe FWHM = 0.978 [um]
Error = 0.070 [um]
