w0 [um], z0 [um] | pump FWHM [um] | probe FWHM [um] | error [um]
3.240, 3.0 | 2.220 | 0.868 | 0.462
3.240, 4.0 | 2.218 | 0.868 | 0.464
3.240, 5.0 | 2.217 | 0.868 | 0.466
3.240, 6.0 | 2.215 | 0.868 | 0.467
3.240, 7.0 | 2.214 | 0.867 | 0.468
3.240, 8.0 | 2.213 | 0.867 | 0.469
3.240, 9.0 | 2.212 | 0.867 | 0.470
3.240, 10.0 | 2.211 | 0.867 | 0.471
3.240, 11.0 | 2.210 | 0.867 | 0.472
3.240, 12.0 | 2.210 | 0.867 | 0.473
3.240, 13.0 | 2.209 | 0.867 | 0.474
3.240, 14.0 | 2.208 | 0.868 | 0.474
3.240, 15.0 | 2.208 | 0.868 | 0.474
3.240, 16.0 | 2.207 | 0.868 | 0.475
3.240, 17.0 | 2.207 | 0.868 | 0.475
3.240, 18.0 | 2.207 | 0.868 | 0.475
3.240, 19.0 | 2.207 | 0.869 | 0.475
3.240, 20.0 | 2.207 | 0.869 | 0.474
3.250, 0.0 | 2.231 | 0.871 | 0.448
3.250, 1.0 | 2.229 | 0.871 | 0.450
3.250, 2.0 | 2.228 | 0.871 | 0.452
3.250, 3.0 | 2.226 | 0.870 | 0.453
3.250, 4.0 | 2.225 | 0.870 | 0.455
3.250, 5.0 | 2.223 | 0.870 | 0.456
3.250, 6.0 | 2.222 | 0.870 | 0.458
3.250, 7.0 | 2.221 | 0.870 | 0.459
3.250, 8.0 | 2.220 | 0.870 | 0.460
3.250, 9.0 | 2.219 | 0.870 | 0.461
3.250, 10.0 | 2.218 | 0.870 | 0.462
3.250, 11.0 | 2.217 | 0.870 | 0.463
3.250, 12.0 | 2.216 | 0.870 | 0.464
3.250, 13.0 | 2.216 | 0.870 | 0.464
3.250, 14.0 | 2.215 | 0.870 | 0.465
3.250, 15.0 | 2.215 | 0.870 | 0.465
3.250, 16.0 | 2.214 | 0.870 | 0.465
3.250, 17.0 | 2.214 | 0.870 | 0.466
3.250, 18.0 | 2.214 | 0.871 | 0.466
3.250, 19.0 | 2.214 | 0.871 | 0.465
3.250, 20.0 | 2.214 | 0.871 | 0.465
3.260, 0.0 | 2.238 | 0.874 | 0.439
3.260, 1.0 | 2.236 | 0.873 | 0.441
3.260, 2.0 | 2.234 | 0.873 | 0.443
3.260, 3.0 | 2.233 | 0.873 | 0.444
3.260, 4.0 | 2.232 | 0.873 | 0.446
3.260, 5.0 | 2.230 | 0.872 | 0.447
3.260, 6.0 | 2.229 | 0.872 | 0.449
3.260, 7.0 | 2.228 | 0.872 | 0.450
3.260, 8.0 | 2.227 | 0.872 | 0.451
3.260, 9.0 | 2.226 | 0.872 | 0.452
3.260, 10.0 | 2.225 | 0.872 | 0.453
3.260, 11.0 | 2.224 | 0.872 | 0.454
3.260, 12.0 | 2.223 | 0.872 | 0.455
3.260, 13.0 | 2.223 | 0.872 | 0.455
3.260, 14.0 | 2.222 | 0.872 | 0.456
3.260, 15.0 | 2.222 | 0.872 | 0.456
3.260, 16.0 | 2.221 | 0.873 | 0.456
3.260, 17.0 | 2.221 | 0.873 | 0.456
3.260, 18.0 | 2.221 | 0.873 | 0.456
3.260, 19.0 | 2.220 | 0.873 | 0.456
3.260, 20.0 | 2.220 | 0.874 | 0.456
3.270, 0.0 | 2.244 | 0.876 | 0.430
3.270, 1.0 | 2.243 | 0.876 | 0.432
3.270, 2.0 | 2.241 | 0.875 | 0.433
3.270, 3.0 | 2.240 | 0.875 | 0.435
3.270, 4.0 | 2.238 | 0.875 | 0.437
3.270, 5.0 | 2.237 | 0.875 | 0.438
3.270, 6.0 | 2.236 | 0.875 | 0.440
3.270, 7.0 | 2.235 | 0.875 | 0.441
3.270, 8.0 | 2.233 | 0.875 | 0.442
3.270, 9.0 | 2.232 | 0.875 | 0.443
3.270, 10.0 | 2.232 | 0.874 | 0.444
3.270, 11.0 | 2.231 | 0.875 | 0.445
3.270, 12.0 | 2.230 | 0.875 | 0.445
3.270, 13.0 | 2.229 | 0.875 | 0.446
3.270, 14.0 | 2.229 | 0.875 | 0.446
3.270, 15.0 | 2.228 | 0.875 | 0.447
3.270, 16.0 | 2.228 | 0.875 | 0.447
3.270, 17.0 | 2.228 | 0.875 | 0.447
3.270, 18.0 | 2.227 | 0.876 | 0.447
3.270, 19.0 | 2.227 | 0.876 | 0.447
3.270, 20.0 | 2.227 | 0.876 | 0.447
3.280, 0.0 | 2.251 | 0.878 | 0.421
3.280, 1.0 | 2.249 | 0.878 | 0.423
3.280, 2.0 | 2.248 | 0.878 | 0.424
3.280, 3.0 | 2.246 | 0.878 | 0.426
3.280, 4.0 | 2.245 | 0.877 | 0.428
3.280, 5.0 | 2.244 | 0.877 | 0.429
3.280, 6.0 | 2.242 | 0.877 | 0.430
3.280, 7.0 | 2.241 | 0.877 | 0.432
3.280, 8.0 | 2.240 | 0.877 | 0.433
3.280, 9.0 | 2.239 | 0.877 | 0.434
3.280, 10.0 | 2.238 | 0.877 | 0.435
3.280, 11.0 | 2.238 | 0.877 | 0.436
3.280, 12.0 | 2.237 | 0.877 | 0.436
3.280, 13.0 | 2.236 | 0.877 | 0.437
3.280, 14.0 | 2.236 | 0.877 | 0.437
3.280, 15.0 | 2.235 | 0.877 | 0.438
3.280, 16.0 | 2.235 | 0.878 | 0.438
3.280, 17.0 | 2.234 | 0.878 | 0.438
3.280, 18.0 | 2.234 | 0.878 | 0.438
3.280, 19.0 | 2.234 | 0.878 | 0.438
3.280, 20.0 | 2.234 | 0.879 | 0.437
3.290, 0.0 | 2.258 | 0.881 | 0.411
3.290, 1.0 | 2.256 | 0.881 | 0.413
3.290, 2.0 | 2.255 | 0.880 | 0.415
3.290, 3.0 | 2.253 | 0.880 | 0.417
3.290, 4.0 | 2.252 | 0.880 | 0.418
3.290, 5.0 | 2.250 | 0.880 | 0.420
3.290, 6.0 | 2.249 | 0.880 | 0.421
3.290, 7.0 | 2.248 | 0.879 | 0.423
3.290, 8.0 | 2.247 | 0.879 | 0.424
3.290, 9.0 | 2.246 | 0.879 | 0.425
3.290, 10.0 | 2.245 | 0.879 | 0.426
3.290, 11.0 | 2.244 | 0.879 | 0.426
3.290, 12.0 | 2.244 | 0.879 | 0.427
3.290, 13.0 | 2.243 | 0.880 | 0.428
3.290, 14.0 | 2.242 | 0.880 | 0.428
3.290, 15.0 | 2.242 | 0.880 | 0.428
3.290, 16.0 | 2.242 | 0.880 | 0.428
3.290, 17.0 | 2.241 | 0.880 | 0.429
3.290, 18.0 | 2.241 | 0.880 | 0.429
3.290, 19.0 | 2.241 | 0.881 | 0.428
3.290, 20.0 | 2.241 | 0.881 | 0.428
3.300, 0.0 | 2.264 | 0.883 | 0.402
3.300, 1.0 | 2.263 | 0.883 | 0.404
3.300, 2.0 | 2.261 | 0.883 | 0.406
3.300, 3.0 | 2.260 | 0.883 | 0.408
3.300, 4.0 | 2.258 | 0.882 | 0.409
3.300, 5.0 | 2.257 | 0.882 | 0.411
3.300, 6.0 | 2.256 | 0.882 | 0.412
3.300, 7.0 | 2.255 | 0.882 | 0.413
3.300, 8.0 | 2.254 | 0.882 | 0.414
3.300, 9.0 | 2.253 | 0.882 | 0.415
3.300, 10.0 | 2.252 | 0.882 | 0.416
3.300, 11.0 | 2.251 | 0.882 | 0.417
3.300, 12.0 | 2.250 | 0.882 | 0.418
3.300, 13.0 | 2.250 | 0.882 | 0.418
3.300, 14.0 | 2.249 | 0.882 | 0.419
3.300, 15.0 | 2.249 | 0.882 | 0.419
3.300, 16.0 | 2.248 | 0.883 | 0.419
3.300, 17.0 | 2.248 | 0.883 | 0.419
3.300, 18.0 | 2.248 | 0.883 | 0.419
3.300, 19.0 | 2.248 | 0.883 | 0.419
3.300, 20.0 | 2.248 | 0.884 | 0.419
3.310, 0.0 | 2.271 | 0.886 | 0.393
3.310, 1.0 | 2.269 | 0.886 | 0.395
3.310, 2.0 | 2.268 | 0.885 | 0.397
3.310, 3.0 | 2.266 | 0.885 | 0.398
3.310, 4.0 | 2.265 | 0.885 | 0.400
3.310, 5.0 | 2.264 | 0.885 | 0.401
3.310, 6.0 | 2.263 | 0.885 | 0.403
3.310, 7.0 | 2.261 | 0.885 | 0.404
3.310, 8.0 | 2.260 | 0.884 | 0.405
3.310, 9.0 | 2.259 | 0.884 | 0.406
3.310, 10.0 | 2.259 | 0.884 | 0.407
3.310, 11.0 | 2.258 | 0.884 | 0.408
3.310, 12.0 | 2.257 | 0.885 | 0.408
3.310, 13.0 | 2.257 | 0.885 | 0.409
3.310, 14.0 | 2.256 | 0.885 | 0.409
3.310, 15.0 | 2.256 | 0.885 | 0.410
3.310, 16.0 | 2.255 | 0.885 | 0.410
3.310, 17.0 | 2.255 | 0.885 | 0.410
3.310, 18.0 | 2.255 | 0.886 | 0.410
3.310, 19.0 | 2.255 | 0.886 | 0.410
3.310, 20.0 | 2.255 | 0.886 | 0.409
3.320, 0.0 | 2.278 | 0.888 | 0.384
3.320, 1.0 | 2.276 | 0.888 | 0.386
3.320, 2.0 | 2.275 | 0.888 | 0.388
3.320, 3.0 | 2.273 | 0.888 | 0.389
3.320, 4.0 | 2.272 | 0.887 | 0.391
3.320, 5.0 | 2.271 | 0.887 | 0.392
3.320, 6.0 | 2.269 | 0.887 | 0.393
3.320, 7.0 | 2.268 | 0.887 | 0.395
3.320, 8.0 | 2.267 | 0.887 | 0.396
3.320, 9.0 | 2.266 | 0.887 | 0.397
3.320, 10.0 | 2.265 | 0.887 | 0.398
3.320, 11.0 | 2.265 | 0.887 | 0.398
3.320, 12.0 | 2.264 | 0.887 | 0.399
3.320, 13.0 | 2.263 | 0.887 | 0.400
3.320, 14.0 | 2.263 | 0.887 | 0.400
3.320, 15.0 | 2.262 | 0.887 | 0.400
3.320, 16.0 | 2.262 | 0.888 | 0.400
3.320, 17.0 | 2.262 | 0.888 | 0.400
3.320, 18.0 | 2.261 | 0.888 | 0.400
3.320, 19.0 | 2.261 | 0.888 | 0.400
3.320, 20.0 | 2.261 | 0.889 | 0.400
3.330, 0.0 | 2.284 | 0.891 | 0.383
3.330, 1.0 | 2.283 | 0.891 | 0.382
3.330, 2.0 | 2.281 | 0.890 | 0.381
3.330, 3.0 | 2.280 | 0.890 | 0.380
3.330, 4.0 | 2.279 | 0.890 | 0.381
3.330, 5.0 | 2.277 | 0.890 | 0.383
3.330, 6.0 | 2.276 | 0.890 | 0.384
3.330, 7.0 | 2.275 | 0.890 | 0.385
3.330, 8.0 | 2.274 | 0.890 | 0.386
3.330, 9.0 | 2.273 | 0.890 | 0.387
3.330, 10.0 | 2.272 | 0.890 | 0.388
3.330, 11.0 | 2.271 | 0.890 | 0.389
3.330, 12.0 | 2.271 | 0.890 | 0.390
3.330, 13.0 | 2.270 | 0.890 | 0.390
3.330, 14.0 | 2.270 | 0.890 | 0.391
3.330, 15.0 | 2.269 | 0.890 | 0.391
3.330, 16.0 | 2.269 | 0.890 | 0.391
3.330, 17.0 | 2.268 | 0.890 | 0.391
3.330, 18.0 | 2.268 | 0.891 | 0.391
3.330, 19.0 | 2.268 | 0.891 | 0.391
3.330, 20.0 | 2.268 | 0.891 | 0.391
3.340, 0.0 | 2.291 | 0.894 | 0.387
3.340, 1.0 | 2.289 | 0.893 | 0.386
3.340, 2.0 | 2.288 | 0.893 | 0.385
3.340, 3.0 | 2.287 | 0.893 | 0.384
3.340, 4.0 | 2.285 | 0.893 | 0.383
3.340, 5.0 | 2.284 | 0.892 | 0.381
3.340, 6.0 | 2.283 | 0.892 | 0.380
3.340, 7.0 | 2.282 | 0.892 | 0.379
3.340, 8.0 | 2.281 | 0.892 | 0.378
3.340, 9.0 | 2.280 | 0.892 | 0.378
3.340, 10.0 | 2.279 | 0.892 | 0.379
3.340, 11.0 | 2.278 | 0.892 | 0.380
3.340, 12.0 | 2.278 | 0.892 | 0.380
3.340, 13.0 | 2.277 | 0.892 | 0.381
3.340, 14.0 | 2.276 | 0.893 | 0.381
3.340, 15.0 | 2.276 | 0.893 | 0.381
3.340, 16.0 | 2.276 | 0.893 | 0.382
3.340, 17.0 | 2.275 | 0.893 | 0.382
3.340, 18.0 | 2.275 | 0.893 | 0.382
3.340, 19.0 | 2.275 | 0.894 | 0.381
3.340, 20.0 | 2.275 | 0.894 | 0.381
3.350, 0.0 | 2.298 | 0.896 | 0.392
3.350, 1.0 | 2.296 | 0.896 | 0.390
3.350, 2.0 | 2.295 | 0.896 | 0.389
3.350, 3.0 | 2.293 | 0.895 | 0.388
3.350, 4.0 | 2.292 | 0.895 | 0.387
3.350, 5.0 | 2.291 | 0.895 | 0.386
3.350, 6.0 | 2.290 | 0.895 | 0.385
3.350, 7.0 | 2.288 | 0.895 | 0.384
3.350, 8.0 | 2.287 | 0.895 | 0.383
3.350, 9.0 | 2.287 | 0.895 | 0.382
3.350, 10.0 | 2.286 | 0.895 | 0.381
3.350, 11.0 | 2.285 | 0.895 | 0.380
3.350, 12.0 | 2.284 | 0.895 | 0.379
3.350, 13.0 | 2.284 | 0.895 | 0.379
3.350, 14.0 | 2.283 | 0.895 | 0.378
3.350, 15.0 | 2.283 | 0.895 | 0.377
3.350, 16.0 | 2.282 | 0.896 | 0.377
3.350, 17.0 | 2.282 | 0.896 | 0.376
3.350, 18.0 | 2.282 | 0.896 | 0.376
3.350, 19.0 | 2.282 | 0.896 | 0.375
3.350, 20.0 | 2.282 | 0.897 | 0.375
3.360, 0.0 | 2.304 | 0.899 | 0.396
3.360, 1.0 | 2.303 | 0.899 | 0.394
3.360, 2.0 | 2.301 | 0.898 | 0.393
3.360, 3.0 | 2.300 | 0.898 | 0.392
3.360, 4.0 | 2.299 | 0.898 | 0.391
3.360, 5.0 | 2.297 | 0.898 | 0.390
3.360, 6.0 | 2.296 | 0.898 | 0.389
3.360, 7.0 | 2.295 | 0.898 | 0.388
3.360, 8.0 | 2.294 | 0.898 | 0.387
3.360, 9.0 | 2.293 | 0.897 | 0.386
3.360, 10.0 | 2.293 | 0.898 | 0.385
3.360, 11.0 | 2.292 | 0.898 | 0.384
3.360, 12.0 | 2.291 | 0.898 | 0.383
3.360, 13.0 | 2.290 | 0.898 | 0.383
3.360, 14.0 | 2.290 | 0.898 | 0.382
3.360, 15.0 | 2.290 | 0.898 | 0.382
3.360, 16.0 | 2.289 | 0.898 | 0.381
3.360, 17.0 | 2.289 | 0.898 | 0.380
3.360, 18.0 | 2.289 | 0.899 | 0.380
3.360, 19.0 | 2.289 | 0.899 | 0.380
3.360, 20.0 | 2.289 | 0.899 | 0.379
3.370, 0.0 | 2.311 | 0.901 | 0.400
3.370, 1.0 | 2.309 | 0.901 | 0.398
3.370, 2.0 | 2.308 | 0.901 | 0.397
3.370, 3.0 | 2.307 | 0.901 | 0.396
3.370, 4.0 | 2.305 | 0.901 | 0.395
3.370, 5.0 | 2.304 | 0.900 | 0.394
3.370, 6.0 | 2.303 | 0.900 | 0.393
3.370, 7.0 | 2.302 | 0.900 | 0.392
3.370, 8.0 | 2.301 | 0.900 | 0.391
3.370, 9.0 | 2.300 | 0.900 | 0.390
3.370, 10.0 | 2.299 | 0.900 | 0.389
3.370, 11.0 | 2.299 | 0.900 | 0.388
3.370, 12.0 | 2.298 | 0.900 | 0.388
3.370, 13.0 | 2.297 | 0.900 | 0.387
3.370, 14.0 | 2.297 | 0.901 | 0.386
3.370, 15.0 | 2.296 | 0.901 | 0.386
3.370, 16.0 | 2.296 | 0.901 | 0.385
3.370, 17.0 | 2.296 | 0.901 | 0.385
3.370, 18.0 | 2.296 | 0.901 | 0.384
3.370, 19.0 | 2.295 | 0.902 | 0.384
3.370, 20.0 | 2.295 | 0.902 | 0.383
3.380, 0.0 | 2.318 | 0.904 | 0.403
3.380, 1.0 | 2.316 | 0.904 | 0.402
3.380, 2.0 | 2.315 | 0.904 | 0.401
3.380, 3.0 | 2.313 | 0.903 | 0.400
3.380, 4.0 | 2.312 | 0.903 | 0.399
3.380, 5.0 | 2.311 | 0.903 | 0.398
3.380, 6.0 | 2.310 | 0.903 | 0.397
3.380, 7.0 | 2.309 | 0.903 | 0.396
3.380, 8.0 | 2.308 | 0.903 | 0.395
3.380, 9.0 | 2.307 | 0.903 | 0.394
3.380, 10.0 | 2.306 | 0.903 | 0.393
3.380, 11.0 | 2.305 | 0.903 | 0.392
3.380, 12.0 | 2.305 | 0.903 | 0.392
3.380, 13.0 | 2.304 | 0.903 | 0.391
3.380, 14.0 | 2.304 | 0.903 | 0.390
3.380, 15.0 | 2.303 | 0.903 | 0.390
3.380, 16.0 | 2.303 | 0.904 | 0.389
3.380, 17.0 | 2.302 | 0.904 | 0.389
3.380, 18.0 | 2.302 | 0.904 | 0.388
3.380, 19.0 | 2.302 | 0.904 | 0.388
3.380, 20.0 | 2.302 | 0.905 | 0.387
3.390, 0.0 | 2.324 | 0.907 | 0.407
3.390, 1.0 | 2.323 | 0.907 | 0.406
3.390, 2.0 | 2.321 | 0.906 | 0.405
3.390, 3.0 | 2.320 | 0.906 | 0.404
3.390, 4.0 | 2.319 | 0.906 | 0.403
3.390, 5.0 | 2.318 | 0.906 | 0.402
3.390, 6.0 | 2.317 | 0.906 | 0.401
3.390, 7.0 | 2.315 | 0.906 | 0.400
3.390, 8.0 | 2.315 | 0.906 | 0.399
3.390, 9.0 | 2.314 | 0.906 | 0.398
3.390, 10.0 | 2.313 | 0.906 | 0.397
3.390, 11.0 | 2.312 | 0.906 | 0.396
3.390, 12.0 | 2.311 | 0.906 | 0.396
3.390, 13.0 | 2.311 | 0.906 | 0.395
3.390, 14.0 | 2.310 | 0.906 | 0.394
3.390, 15.0 | 2.310 | 0.906 | 0.394
3.390, 16.0 | 2.310 | 0.906 | 0.393
3.390, 17.0 | 2.309 | 0.907 | 0.393
3.390, 18.0 | 2.309 | 0.907 | 0.392
3.390, 19.0 | 2.309 | 0.907 | 0.392
3.390, 20.0 | 2.309 | 0.908 | 0.391
3.400, 0.0 | 2.331 | 0.910 | 0.411
3.400, 1.0 | 2.330 | 0.909 | 0.410
3.400, 2.0 | 2.328 | 0.909 | 0.409
3.400, 3.0 | 2.327 | 0.909 | 0.408
3.400, 4.0 | 2.326 | 0.909 | 0.407
3.400, 5.0 | 2.324 | 0.909 | 0.406
3.400, 6.0 | 2.323 | 0.909 | 0.405
3.400, 7.0 | 2.322 | 0.908 | 0.404
3.400, 8.0 | 2.321 | 0.908 | 0.403
3.400, 9.0 | 2.320 | 0.908 | 0.402
3.400, 10.0 | 2.320 | 0.908 | 0.401
3.400, 11.0 | 2.319 | 0.908 | 0.400
3.400, 12.0 | 2.318 | 0.909 | 0.400
3.400, 13.0 | 2.318 | 0.909 | 0.399
3.400, 14.0 | 2.317 | 0.909 | 0.398
3.400, 15.0 | 2.317 | 0.909 | 0.398
3.400, 16.0 | 2.316 | 0.909 | 0.397
3.400, 17.0 | 2.316 | 0.909 | 0.397
3.400, 18.0 | 2.316 | 0.910 | 0.396
3.400, 19.0 | 2.316 | 0.910 | 0.396
3.400, 20.0 | 2.316 | 0.910 | 0.395
3.410, 0.0 | 2.338 | 0.912 | 0.415
3.410, 1.0 | 2.336 | 0.912 | 0.414
3.410, 2.0 | 2.335 | 0.912 | 0.413
3.410, 3.0 | 2.334 | 0.912 | 0.412
3.410, 4.0 | 2.332 | 0.912 | 0.411
3.410, 5.0 | 2.331 | 0.911 | 0.410
3.410, 6.0 | 2.330 | 0.911 | 0.409
3.410, 7.0 | 2.329 | 0.911 | 0.408
3.410, 8.0 | 2.328 | 0.911 | 0.407
3.410, 9.0 | 2.327 | 0.911 | 0.406
3.410, 10.0 | 2.326 | 0.911 | 0.405
3.410, 11.0 | 2.326 | 0.911 | 0.404
3.410, 12.0 | 2.325 | 0.911 | 0.404
3.410, 13.0 | 2.324 | 0.911 | 0.403
3.410, 14.0 | 2.324 | 0.912 | 0.402
3.410, 15.0 | 2.324 | 0.912 | 0.402
3.410, 16.0 | 2.323 | 0.912 | 0.401
3.410, 17.0 | 2.323 | 0.912 | 0.401
3.410, 18.0 | 2.323 | 0.913 | 0.400
3.410, 19.0 | 2.323 | 0.913 | 0.400
3.410, 20.0 | 2.323 | 0.913 | 0.399
3.420, 0.0 | 2.344 | 0.915 | 0.419
3.420, 1.0 | 2.343 | 0.915 | 0.418
3.420, 2.0 | 2.342 | 0.915 | 0.417
3.420, 3.0 | 2.340 | 0.915 | 0.416
3.420, 4.0 | 2.339 | 0.914 | 0.415
3.420, 5.0 | 2.338 | 0.914 | 0.414
3.420, 6.0 | 2.337 | 0.914 | 0.413
3.420, 7.0 | 2.336 | 0.914 | 0.412
3.420, 8.0 | 2.335 | 0.914 | 0.411
3.420, 9.0 | 2.334 | 0.914 | 0.410
3.420, 10.0 | 2.333 | 0.914 | 0.409
3.420, 11.0 | 2.332 | 0.914 | 0.408
3.420, 12.0 | 2.332 | 0.914 | 0.408
3.420, 13.0 | 2.331 | 0.914 | 0.407
3.420, 14.0 | 2.331 | 0.914 | 0.406
3.420, 15.0 | 2.330 | 0.915 | 0.406
3.420, 16.0 | 2.330 | 0.915 | 0.405
3.420, 17.0 | 2.330 | 0.915 | 0.405
3.420, 18.0 | 2.330 | 0.915 | 0.404
3.420, 19.0 | 2.329 | 0.916 | 0.404
3.420, 20.0 | 2.329 | 0.916 | 0.403
3.430, 0.0 | 2.351 | 0.918 | 0.423
3.430, 1.0 | 2.350 | 0.918 | 0.422
3.430, 2.0 | 2.348 | 0.918 | 0.421
3.430, 3.0 | 2.347 | 0.917 | 0.420
3.430, 4.0 | 2.346 | 0.917 | 0.418
3.430, 5.0 | 2.345 | 0.917 | 0.417
3.430, 6.0 | 2.344 | 0.917 | 0.416
3.430, 7.0 | 2.342 | 0.917 | 0.416
3.430, 8.0 | 2.342 | 0.917 | 0.415
3.430, 9.0 | 2.341 | 0.917 | 0.414
3.430, 10.0 | 2.340 | 0.917 | 0.413
3.430, 11.0 | 2.339 | 0.917 | 0.412
3.430, 12.0 | 2.339 | 0.917 | 0.412
3.430, 13.0 | 2.338 | 0.917 | 0.411
3.430, 14.0 | 2.338 | 0.917 | 0.410
3.430, 15.0 | 2.337 | 0.918 | 0.410
3.430, 16.0 | 2.337 | 0.918 | 0.409
3.430, 17.0 | 2.337 | 0.918 | 0.409
3.430, 18.0 | 2.336 | 0.918 | 0.408
3.430, 19.0 | 2.336 | 0.919 | 0.408
3.430, 20.0 | 2.336 | 0.919 | 0.407
3.440, 0.0 | 2.358 | 0.921 | 0.427
3.440, 1.0 | 2.356 | 0.921 | 0.426
3.440, 2.0 | 2.355 | 0.921 | 0.424
3.440, 3.0 | 2.354 | 0.920 | 0.423
3.440, 4.0 | 2.352 | 0.920 | 0.422
3.440, 5.0 | 2.351 | 0.920 | 0.421
3.440, 6.0 | 2.350 | 0.920 | 0.420
3.440, 7.0 | 2.349 | 0.920 | 0.419
3.440, 8.0 | 2.348 | 0.920 | 0.419
3.440, 9.0 | 2.348 | 0.920 | 0.418
3.440, 10.0 | 2.347 | 0.920 | 0.417
3.440, 11.0 | 2.346 | 0.920 | 0.416
3.440, 12.0 | 2.345 | 0.920 | 0.415
3.440, 13.0 | 2.345 | 0.920 | 0.415
3.440, 14.0 | 2.344 | 0.920 | 0.414
3.440, 15.0 | 2.344 | 0.920 | 0.414
3.440, 16.0 | 2.344 | 0.921 | 0.413
3.440, 17.0 | 2.343 | 0.921 | 0.412
3.440, 18.0 | 2.343 | 0.921 | 0.412
3.440, 19.0 | 2.343 | 0.921 | 0.412
3.440, 20.0 | 2.343 | 0.922 | 0.411
3.450, 0.0 | 2.364 | 0.924 | 0.431
3.450, 1.0 | 2.363 | 0.924 | 0.429
3.450, 2.0 | 2.362 | 0.923 | 0.428
3.450, 3.0 | 2.360 | 0.923 | 0.427
3.450, 4.0 | 2.359 | 0.923 | 0.426
3.450, 5.0 | 2.358 | 0.923 | 0.425
3.450, 6.0 | 2.357 | 0.923 | 0.424
3.450, 7.0 | 2.356 | 0.923 | 0.423
3.450, 8.0 | 2.355 | 0.923 | 0.422
3.450, 9.0 | 2.354 | 0.923 | 0.422
3.450, 10.0 | 2.354 | 0.923 | 0.421
3.450, 11.0 | 2.353 | 0.923 | 0.420
3.450, 12.0 | 2.352 | 0.923 | 0.419
3.450, 13.0 | 2.352 | 0.923 | 0.419
3.450, 14.0 | 2.351 | 0.923 | 0.418
3.450, 15.0 | 2.351 | 0.923 | 0.417
3.450, 16.0 | 2.350 | 0.924 | 0.417
3.450, 17.0 | 2.350 | 0.924 | 0.416
3.450, 18.0 | 2.350 | 0.924 | 0.416
3.450, 19.0 | 2.350 | 0.924 | 0.415
3.450, 20.0 | 2.350 | 0.925 | 0.415
3.460, 0.0 | 2.371 | 0.927 | 0.434
3.460, 1.0 | 2.370 | 0.927 | 0.433
3.460, 2.0 | 2.368 | 0.926 | 0.432
3.460, 3.0 | 2.367 | 0.926 | 0.431
3.460, 4.0 | 2.366 | 0.926 | 0.430
3.460, 5.0 | 2.365 | 0.926 | 0.429
3.460, 6.0 | 2.364 | 0.926 | 0.428
3.460, 7.0 | 2.363 | 0.926 | 0.427
3.460, 8.0 | 2.362 | 0.926 | 0.426
3.460, 9.0 | 2.361 | 0.926 | 0.425
3.460, 10.0 | 2.360 | 0.926 | 0.425
3.460, 11.0 | 2.360 | 0.926 | 0.424
3.460, 12.0 | 2.359 | 0.926 | 0.423
3.460, 13.0 | 2.358 | 0.926 | 0.422
3.460, 14.0 | 2.358 | 0.926 | 0.422
3.460, 15.0 | 2.358 | 0.926 | 0.421
3.460, 16.0 | 2.357 | 0.927 | 0.421
3.460, 17.0 | 2.357 | 0.927 | 0.420
3.460, 18.0 | 2.357 | 0.927 | 0.420
3.460, 19.0 | 2.357 | 0.927 | 0.419
3.460, 20.0 | 2.357 | 0.928 | 0.419
3.470, 0.0 | 2.378 | 0.930 | 0.438
3.470, 1.0 | 2.376 | 0.930 | 0.437
3.470, 2.0 | 2.375 | 0.929 | 0.436
3.470, 3.0 | 2.374 | 0.929 | 0.435
3.470, 4.0 | 2.373 | 0.929 | 0.434
3.470, 5.0 | 2.372 | 0.929 | 0.433
3.470, 6.0 | 2.371 | 0.929 | 0.432
3.470, 7.0 | 2.370 | 0.929 | 0.431
3.470, 8.0 | 2.369 | 0.929 | 0.430
3.470, 9.0 | 2.368 | 0.929 | 0.429
3.470, 10.0 | 2.367 | 0.929 | 0.428
3.470, 11.0 | 2.366 | 0.929 | 0.428
3.470, 12.0 | 2.366 | 0.929 | 0.427
3.470, 13.0 | 2.365 | 0.929 | 0.426
3.470, 14.0 | 2.365 | 0.929 | 0.426
3.470, 15.0 | 2.364 | 0.929 | 0.425
3.470, 16.0 | 2.364 | 0.930 | 0.424
3.470, 17.0 | 2.364 | 0.930 | 0.424
3.470, 18.0 | 2.364 | 0.930 | 0.423
3.470, 19.0 | 2.363 | 0.930 | 0.423
3.470, 20.0 | 2.363 | 0.931 | 0.423
3.480, 0.0 | 2.385 | 0.933 | 0.442
3.480, 1.0 | 2.383 | 0.933 | 0.440
3.480, 2.0 | 2.382 | 0.932 | 0.439
3.480, 3.0 | 2.381 | 0.932 | 0.438
3.480, 4.0 | 2.379 | 0.932 | 0.437
3.480, 5.0 | 2.378 | 0.932 | 0.436
3.480, 6.0 | 2.377 | 0.932 | 0.435
3.480, 7.0 | 2.376 | 0.932 | 0.435
3.480, 8.0 | 2.375 | 0.932 | 0.434
3.480, 9.0 | 2.375 | 0.932 | 0.433
3.480, 10.0 | 2.374 | 0.932 | 0.432
3.480, 11.0 | 2.373 | 0.932 | 0.431
3.480, 12.0 | 2.373 | 0.932 | 0.431
3.480, 13.0 | 2.372 | 0.932 | 0.430
3.480, 14.0 | 2.372 | 0.932 | 0.429
3.480, 15.0 | 2.371 | 0.932 | 0.429
