w0 [um], z0 [um] | pump FWHM [um] | probe FWHM [um] | error [um]
3.050, 12.0 | 2.081 | 0.827 | 0.642
3.050, 13.0 | 2.080 | 0.827 | 0.643
3.050, 14.0 | 2.079 | 0.827 | 0.643
3.050, 15.0 | 2.079 | 0.827 | 0.644
3.050, 16.0 | 2.078 | 0.827 | 0.644
3.050, 17.0 | 2.078 | 0.828 | 0.645
3.050, 18.0 | 2.078 | 0.828 | 0.645
3.050, 19.0 | 2.077 | 0.828 | 0.645
3.050, 20.0 | 2.077 | 0.828 | 0.644
3.060, 0.0 | 2.105 | 0.831 | 0.614
3.060, 1.0 | 2.103 | 0.831 | 0.616
3.060, 2.0 | 2.101 | 0.830 | 0.618
3.060, 3.0 | 2.099 | 0.830 | 0.621
3.060, 4.0 | 2.098 | 0.830 | 0.622
3.060, 5.0 | 2.096 | 0.830 | 0.624
3.060, 6.0 | 2.094 | 0.830 | 0.626
3.060, 7.0 | 2.093 | 0.829 | 0.628
3.060, 8.0 | 2.092 | 0.829 | 0.629
3.060, 9.0 | 2.091 | 0.829 | 0.630
3.060, 10.0 | 2.089 | 0.829 | 0.631
3.060, 11.0 | 2.088 | 0.829 | 0.632
3.060, 12.0 | 2.088 | 0.829 | 0.633
3.060, 13.0 | 2.087 | 0.829 | 0.634
3.060, 14.0 | 2.086 | 0.829 | 0.635
3.060, 15.0 | 2.086 | 0.829 | 0.635
3.060, 16.0 | 2.085 | 0.829 | 0.636
3.060, 17.0 | 2.085 | 0.830 | 0.636
3.060, 18.0 | 2.084 | 0.830 | 0.636
3.060, 19.0 | 2.084 | 0.830 | 0.636
3.060, 20.0 | 2.084 | 0.830 | 0.636
3.070, 0.0 | 2.112 | 0.833 | 0.605
3.070, 1.0 | 2.110 | 0.833 | 0.608
3.070, 2.0 | 2.108 | 0.832 | 0.610
3.070, 3.0 | 2.106 | 0.832 | 0.612
3.070, 4.0 | 2.104 | 0.832 | 0.614
3.070, 5.0 | 2.103 | 0.832 | 0.616
3.070, 6.0 | 2.101 | 0.831 | 0.617
3.070, 7.0 | 2.100 | 0.831 | 0.619
3.070, 8.0 | 2.099 | 0.831 | 0.620
3.070, 9.0 | 2.097 | 0.831 | 0.622
3.070, 10.0 | 2.096 | 0.831 | 0.623
3.070, 11.0 | 2.095 | 0.831 | 0.624
3.070, 12.0 | 2.094 | 0.831 | 0.625
3.070, 13.0 | 2.094 | 0.831 | 0.625
3.070, 14.0 | 2.093 | 0.831 | 0.626
3.070, 15.0 | 2.092 | 0.831 | 0.627
3.070, 16.0 | 2.092 | 0.831 | 0.627
3.070, 17.0 | 2.091 | 0.831 | 0.627
3.070, 18.0 | 2.091 | 0.832 | 0.627
3.070, 19.0 | 2.091 | 0.832 | 0.627
3.070, 20.0 | 2.091 | 0.832 | 0.627
3.080, 0.0 | 2.118 | 0.835 | 0.597
3.080, 1.0 | 2.116 | 0.835 | 0.599
3.080, 2.0 | 2.114 | 0.834 | 0.601
3.080, 3.0 | 2.113 | 0.834 | 0.603
3.080, 4.0 | 2.111 | 0.834 | 0.605
3.080, 5.0 | 2.109 | 0.834 | 0.607
3.080, 6.0 | 2.108 | 0.833 | 0.609
3.080, 7.0 | 2.106 | 0.833 | 0.610
3.080, 8.0 | 2.105 | 0.833 | 0.612
3.080, 9.0 | 2.104 | 0.833 | 0.613
3.080, 10.0 | 2.103 | 0.833 | 0.614
3.080, 11.0 | 2.102 | 0.833 | 0.615
3.080, 12.0 | 2.101 | 0.833 | 0.616
3.080, 13.0 | 2.100 | 0.833 | 0.617
3.080, 14.0 | 2.100 | 0.833 | 0.617
3.080, 15.0 | 2.099 | 0.833 | 0.618
3.080, 16.0 | 2.099 | 0.833 | 0.618
3.080, 17.0 | 2.098 | 0.833 | 0.618
3.080, 18.0 | 2.098 | 0.834 | 0.618
3.080, 19.0 | 2.098 | 0.834 | 0.618
3.080, 20.0 | 2.098 | 0.834 | 0.618
3.090, 0.0 | 2.125 | 0.837 | 0.588
3.090, 1.0 | 2.123 | 0.836 | 0.591
3.090, 2.0 | 2.121 | 0.836 | 0.593
3.090, 3.0 | 2.119 | 0.836 | 0.595
3.090, 4.0 | 2.118 | 0.836 | 0.597
3.090, 5.0 | 2.116 | 0.835 | 0.598
3.090, 6.0 | 2.115 | 0.835 | 0.600
3.090, 7.0 | 2.113 | 0.835 | 0.602
3.090, 8.0 | 2.112 | 0.835 | 0.603
3.090, 9.0 | 2.111 | 0.835 | 0.604
3.090, 10.0 | 2.110 | 0.835 | 0.605
3.090, 11.0 | 2.109 | 0.835 | 0.606
3.090, 12.0 | 2.108 | 0.835 | 0.607
3.090, 13.0 | 2.107 | 0.835 | 0.608
3.090, 14.0 | 2.106 | 0.835 | 0.609
3.090, 15.0 | 2.106 | 0.835 | 0.609
3.090, 16.0 | 2.105 | 0.835 | 0.609
3.090, 17.0 | 2.105 | 0.835 | 0.610
3.090, 18.0 | 2.105 | 0.836 | 0.610
3.090, 19.0 | 2.105 | 0.836 | 0.610
3.090, 20.0 | 2.105 | 0.836 | 0.609
3.100, 0.0 | 2.132 | 0.839 | 0.580
3.100, 1.0 | 2.130 | 0.838 | 0.582
3.100, 2.0 | 2.128 | 0.838 | 0.584
3.100, 3.0 | 2.126 | 0.838 | 0.586
3.100, 4.0 | 2.124 | 0.838 | 0.588
3.100, 5.0 | 2.123 | 0.837 | 0.590
3.100, 6.0 | 2.121 | 0.837 | 0.591
3.100, 7.0 | 2.120 | 0.837 | 0.593
3.100, 8.0 | 2.119 | 0.837 | 0.594
3.100, 9.0 | 2.118 | 0.837 | 0.595
3.100, 10.0 | 2.117 | 0.837 | 0.597
3.100, 11.0 | 2.116 | 0.837 | 0.598
3.100, 12.0 | 2.115 | 0.837 | 0.598
3.100, 13.0 | 2.114 | 0.837 | 0.599
3.100, 14.0 | 2.113 | 0.837 | 0.600
3.100, 15.0 | 2.113 | 0.837 | 0.600
3.100, 16.0 | 2.112 | 0.837 | 0.601
3.100, 17.0 | 2.112 | 0.837 | 0.601
3.100, 18.0 | 2.112 | 0.838 | 0.601
3.100, 19.0 | 2.111 | 0.838 | 0.601
3.100, 20.0 | 2.111 | 0.838 | 0.601
3.110, 0.0 | 2.138 | 0.841 | 0.571
3.110, 1.0 | 2.136 | 0.840 | 0.573
3.110, 2.0 | 2.134 | 0.840 | 0.575
3.110, 3.0 | 2.133 | 0.840 | 0.577
